"ID","Name","Description","MainMedia","MediaItems","SKU","Ribbons","Currency","Price","DiscountedPrice","FormattedPrice","FormattedDiscountedPrice","TrackInventory","InStock","QuantityInStock","AdditionalInfoSections","ProductOptions","ProductPageUrl","ManageVariants","CustomTextFields","ProductType","Slug","Weight"
"146626d3-ab70-147e-a1a9-8b1829791cf9","Bling Bling - Bath Bomb","<p>Bling Bling Bath Bomb is mixed and molded to enhance your bathing experience. Settle in for a luscious bath with colors and scents that will give your senses the care they need.</p>","wix:image://v1/ebd955_a73330515c7840abbe2a987ec26f3ea5~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/ebd955_a73330515c7840abbe2a987ec26f3ea5~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","15",[],"USD",4.99,4.99,"$4.99","$4.99",false,true,,[],{},"/product-page/bling-bling-bath-bomb",false,[],"physical","bling-bling-bath-bomb",0
"3012973a-2b96-b091-5846-48d284f3b9d2","Bling Bling - Body Mist","<p>Bling Bling Body Mist is a natural fragrance mix, bursting with crisp lemon and natural mica powder shimmer for a fresh, summer feel. Give it a go on body, hair, and lingerie and keep yourself feeling fresh and smelling great.</p>","wix:image://v1/eb980f_fe6a26a782314d97b62191df0a498247~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_fe6a26a782314d97b62191df0a498247~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","10",[],"USD",9.99,9.99,"$9.99","$9.99",false,true,,[],{},"/product-page/bling-bling-body-mist",false,[],"physical","bling-bling-body-mist",0
"8a2e1e17-3bef-a964-ec67-a97d24373f8c","Bling Bling - Lip Balm","<p>Bling Bling Lip Balm helps keep your lips nourished and moisturized for up to 24 hours. It’s made with 100% all natural flavors and is the perfect buddy to carry around.</p>","wix:image://v1/eb980f_496baaabb6b940879c9f1534254411bb~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_496baaabb6b940879c9f1534254411bb~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","5",[],"USD",8.99,8.99,"$8.99","$8.99",false,true,,[],{},"/product-page/bling-bling-lip-balm",false,[],"physical","bling-bling-lip-balm",0
"36915dd8-4220-723a-08f5-322e89ccd99c","Bling Bling - Sheet Mask","<p>24K Gold Sheet Mask is formulated and shaped to hug the contours of your face. The snug fit traps in goodies so they have nowhere to go but in your face.</p>","wix:image://v1/eb980f_ebdc47ade9a64a7087eb7811acda2ef2~mv2_d_2000_1833_s_2.png/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_ebdc47ade9a64a7087eb7811acda2ef2~mv2_d_2000_1833_s_2.png/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","16",[],"USD",3.99,3.99,"$3.99","$3.99",false,true,,[],{},"/product-page/bling-bling-sheet-mask",false,[],"physical","bling-bling-sheet-mask",0
"6d052cd1-c16a-7a06-e19d-9f2918b3a87b","Bold Cold - Bath Bomb","<p>Bold Cold Bath Bomb is mixed and molded to enhance your bathing experience. Settle in for a luscious bath with colors and scents that will give your senses the care they need.</p>","wix:image://v1/ebd955_20a36d7f0d0946edbd2c45eff60eee56~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/ebd955_20a36d7f0d0946edbd2c45eff60eee56~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","13",[],"USD",4.99,4.99,"$4.99","$4.99",false,true,,[],{},"/product-page/bold-cold-bath-bomb",false,[],"physical","bold-cold-bath-bomb",0
"8859bd0e-b27e-9ebe-d93e-ab2b48608e6b","Bold Cold - Body Mist","<p>Bold Cold Body Mist is a natural fragrance mix, bursting with refreshing mint and calming cucumber scent. Give it a go on body, hair, and lingerie and keep yourself feeling fresh and smelling great.</p>","wix:image://v1/eb980f_8caac9cb6e494654850cd8e08fe2adae~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_8caac9cb6e494654850cd8e08fe2adae~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","9",[],"USD",9.99,9.99,"$9.99","$9.99",false,true,,[],{},"/product-page/bold-cold-body-mist",false,[],"physical","bold-cold-body-mist",0
"0783a43a-eb3e-b0ad-e0a1-780b5bd11df1","Bold Cold - Lip Balm","<p>Bold Cold Lip Balm helps keep your lips nourished and moisturized for up to 24 hours. It’s made with 100% all natural flavors and is the perfect buddy to carry around.</p>","wix:image://v1/eb980f_24f75bbc235f49e886c201652d27d5ce~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_24f75bbc235f49e886c201652d27d5ce~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","3",[],"USD",8.99,8.99,"$8.99","$8.99",false,true,,[],{},"/product-page/bold-cold-lip-balm",false,[],"physical","bold-cold-lip-balm",0
"da96159d-467f-4fa3-17b3-a558ccb0b9c0","Bold Cold - Sheet Mask","<p>Bold Cold Mint &amp; Cucumber Sheet Mask is formulated and shaped to hug the contours of your face. The snug fit traps in goodies so they have nowhere to go but in your face.</p>","wix:image://v1/eb980f_6fff0ff0d7e44f7ba081c8d609346046~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_6fff0ff0d7e44f7ba081c8d609346046~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","17",[],"USD",3.99,3.99,"$3.99","$3.99",false,true,,[],{},"/product-page/bold-cold-sheet-mask",false,[],"physical","bold-cold-sheet-mask",0
"cda3d903-fc7c-d36b-b983-46eb5410130e","Lav Love - Bath Bomb","<p>Lav Love Bath Bomb is mixed and molded to enhance your bathing experience. Settle in for a luscious bath with colors and scents that will give your senses the care they need.</p>","wix:image://v1/ebd955_1dd690883d974d37b8de0c7ff49939dd~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/ebd955_1dd690883d974d37b8de0c7ff49939dd~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","11",[],"USD",4.99,4.99,"$4.99","$4.99",false,true,,[],{},"/product-page/lav-love-bath-bomb",false,[],"physical","lav-love-bath-bomb",0
"7bad8fc3-9d19-964e-ea04-fe038171abd0","Lav Love - Body Mist","<p>Lav Love Body Mist is a natural fragrance mix, bursting with sweet, soothing lavender extract. Give it a go on body, hair, and lingerie and keep yourself feeling fresh and smelling great.</p>","wix:image://v1/eb980f_f23b43ca98b445cfbb881d7b79921c1f~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_f23b43ca98b445cfbb881d7b79921c1f~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","7",[],"USD",9.99,9.99,"$9.99","$9.99",false,true,,[],{},"/product-page/lav-love-body-mist",false,[],"physical","lav-love-body-mist",0
